decile,MAE,Model
1,45.06622600442369,Linear (Full Features)
2,31.886224088102946,Linear (Full Features)
3,23.425046635966353,Linear (Full Features)
4,22.40915251192238,Linear (Full Features)
5,26.36607697149224,Linear (Full Features)
6,35.45923819107018,Linear (Full Features)
7,48.929969165435345,Linear (Full Features)
8,68.9067711608076,Linear (Full Features)
9,121.00750109852171,Linear (Full Features)
10,275.57889238132117,Linear (Full Features)
1,45.18661041728045,Lasso (Full Features)
2,31.88992158075468,Lasso (Full Features)
3,23.396173052651573,Lasso (Full Features)
4,22.370924378292617,Lasso (Full Features)
5,26.33581087299895,Lasso (Full Features)
6,35.40836006479743,Lasso (Full Features)
7,48.90238768607697,Lasso (Full Features)
8,68.87114369401426,Lasso (Full Features)
9,121.0720358598067,Lasso (Full Features)
10,275.44979046240593,Lasso (Full Features)
1,26.245905686082924,RandomForest (Full Features)
2,22.286186496310997,RandomForest (Full Features)
3,23.041445026703908,RandomForest (Full Features)
4,25.877094357179878,RandomForest (Full Features)
5,32.01247152973315,RandomForest (Full Features)
6,36.593780187677105,RandomForest (Full Features)
7,45.12065700687034,RandomForest (Full Features)
8,59.546864753983904,RandomForest (Full Features)
9,95.07034462933618,RandomForest (Full Features)
10,208.04263898539628,RandomForest (Full Features)
